BPR1,BPR2,PR_HPC,PR_IPC,PR_LPC,TIT,TSCOR,TSF,TSFC,TSNoxR,SFC
0.1673,0.1673,5.025,3.94,3.669,1958,0.03616,309.3,44.41,0.08195,0.05329
0.1672,0.1672,5.024,3.939,3.668,1958,0.03619,309.5,44.39,0.0819,0.05326
0.1672,0.1672,5.022,3.939,3.668,1957,0.03622,309.8,44.36,0.08186,0.05323
0.1671,0.1671,5.021,3.938,3.667,1957,0.03625,310,44.34,0.08181,0.0532
0.167,0.167,5.02,3.937,3.666,1957,0.03628,310.3,44.31,0.08177,0.05317
0.167,0.167,5.019,3.936,3.665,1957,0.03631,310.5,44.28,0.08172,0.05314
0.1669,0.1669,5.017,3.935,3.664,1957,0.03635,310.8,44.26,0.08168,0.05311
0.1669,0.1669,5.016,3.934,3.664,1957,0.03638,311,44.23,0.08164,0.05308
0.05,0.3784,7.566,2,6.131,2142,0.02235,330.4,44.76,0.08159,0.05372
0.1668,0.1668,5.015,3.933,3.663,1957,0.03641,311.3,44.21,0.08159,0.05305
0.1667,0.1667,5.013,3.932,3.662,1957,0.03644,311.5,44.18,0.08155,0.05302
0.1667,0.1667,5.012,3.931,3.661,1957,0.03647,311.8,44.16,0.0815,0.05299
0.1666,0.1666,5.011,3.93,3.66,1957,0.0365,312,44.13,0.08146,0.05296
0.1666,0.1666,5.009,3.93,3.66,1956,0.03653,312.2,44.11,0.08142,0.05293
0.1665,0.1665,5.008,3.929,3.659,1956,0.03656,312.5,44.08,0.08137,0.0529
0.1665,0.1665,5.007,3.928,3.658,1956,0.03659,312.7,44.06,0.08133,0.05287
0.1664,0.1664,5.006,3.927,3.657,1956,0.03662,313,44.03,0.08129,0.05284
0.1663,0.1663,5.004,3.926,3.656,1956,0.03665,313.2,44.01,0.08124,0.05281
0.1663,0.1663,5.003,3.925,3.656,1956,0.03668,313.5,43.98,0.0812,0.05278
0.05,0.3756,7.556,2,6.111,2142,0.02244,333,44.53,0.08118,0.05344
0.1662,0.1662,5.002,3.924,3.655,1956,0.03672,313.7,43.96,0.08116,0.05275
0.1662,0.1662,5,3.923,3.654,1956,0.03675,314,43.93,0.08111,0.05272
0.1661,0.1661,4.999,3.922,3.653,1956,0.03678,314.2,43.91,0.08107,0.05269
0.1661,0.1661,4.998,3.921,3.652,1956,0.03681,314.5,43.88,0.08103,0.05266
0.166,0.166,4.996,3.921,3.652,1956,0.03684,314.7,43.86,0.08099,0.05263
0.1659,0.1659,4.995,3.92,3.651,1955,0.03687,315,43.83,0.08094,0.0526
0.1659,0.1659,4.994,3.919,3.65,1955,0.0369,315.2,43.81,0.0809,0.05257
0.1658,0.1658,4.992,3.918,3.649,1955,0.03694,315.4,43.78,0.08086,0.05254
0.1658,0.1658,4.991,3.917,3.648,1955,0.03697,315.7,43.76,0.08082,0.05251
0.05,0.3727,7.545,2,6.091,2141,0.02254,335.6,44.3,0.08079,0.05316
0.1657,0.1657,4.99,3.916,3.648,1955,0.037,315.9,43.73,0.08077,0.05248
0.1656,0.1656,4.989,3.915,3.647,1955,0.03703,316.2,43.71,0.08073,0.05245
0.1656,0.1656,4.987,3.914,3.646,1955,0.03706,316.4,43.69,0.08069,0.05242
0.1655,0.1655,4.986,3.913,3.645,1955,0.03709,316.7,43.66,0.08065,0.05239
0.1655,0.1655,4.985,3.912,3.644,1955,0.03713,316.9,43.64,0.0806,0.05236
0.1654,0.1654,4.983,3.912,3.644,1955,0.03716,317.2,43.61,0.08056,0.05234
0.1654,0.1654,4.982,3.911,3.643,1954,0.03719,317.4,43.59,0.08052,0.05231
0.1653,0.1653,4.981,3.91,3.642,1954,0.03722,317.7,43.56,0.08048,0.05228
0.1652,0.1652,4.979,3.909,3.641,1954,0.03726,317.9,43.54,0.08044,0.05225
0.1652,0.1652,4.978,3.908,3.64,1954,0.03729,318.1,43.52,0.0804,0.05222
0.05,0.3699,7.535,2,6.071,2140,0.02263,338.2,44.08,0.08039,0.05289
0.1651,0.1651,4.977,3.907,3.64,1954,0.03732,318.4,43.49,0.08036,0.05219
0.1651,0.1651,4.976,3.906,3.639,1954,0.03735,318.6,43.47,0.08031,0.05216
0.165,0.165,4.974,3.905,3.638,1954,0.03739,318.9,43.45,0.08027,0.05213
0.1649,0.1649,4.973,3.904,3.637,1954,0.03742,319.1,43.42,0.08023,0.05211
0.1649,0.1649,4.972,3.903,3.636,1954,0.03745,319.4,43.4,0.08019,0.05208
0.1648,0.1648,4.97,3.903,3.636,1954,0.03749,319.6,43.37,0.08015,0.05205
0.1648,0.1648,4.969,3.902,3.635,1954,0.03752,319.9,43.35,0.08011,0.05202
0.1647,0.1647,4.968,3.901,3.634,1953,0.03755,320.1,43.33,0.08007,0.05199
0.1647,0.1647,4.966,3.9,3.633,1953,0.03758,320.3,43.3,0.08003,0.05196
0.05,0.3671,7.525,2,6.051,2139,0.02273,340.8,43.86,0.08001,0.05263
0.1646,0.1646,4.965,3.899,3.632,1953,0.03762,320.6,43.28,0.07999,0.05194
0.1645,0.1645,4.964,3.898,3.632,1953,0.03765,320.8,43.26,0.07995,0.05191
0.1645,0.1645,4.963,3.897,3.631,1953,0.03768,321.1,43.23,0.07991,0.05188
0.1644,0.1644,4.961,3.896,3.63,1953,0.03772,321.3,43.21,0.07987,0.05185
0.1644,0.1644,4.96,3.895,3.629,1953,0.03775,321.6,43.19,0.07983,0.05182
0.1643,0.1643,4.959,3.894,3.628,1953,0.03778,321.8,43.16,0.07978,0.0518
0.1643,0.1643,4.957,3.894,3.628,1953,0.03782,322.1,43.14,0.07974,0.05177
0.1642,0.1642,4.956,3.893,3.627,1953,0.03785,322.3,43.12,0.0797,0.05174
0.1641,0.1641,4.955,3.892,3.626,1952,0.03789,322.5,43.09,0.07966,0.05171
0.05,0.3642,7.515,2,6.03,2139,0.02283,343.5,43.64,0.07964,0.05237
0.1641,0.1641,4.953,3.891,3.625,1952,0.03792,322.8,43.07,0.07962,0.05168
0.164,0.164,4.952,3.89,3.624,1952,0.03795,323,43.05,0.07959,0.05166
0.164,0.164,4.951,3.889,3.624,1952,0.03799,323.3,43.02,0.07955,0.05163
0.1639,0.1639,4.95,3.888,3.623,1952,0.03802,323.5,43,0.07951,0.0516
0.1638,0.1638,4.948,3.887,3.622,1952,0.03806,323.8,42.98,0.07947,0.05157
0.1638,0.1638,4.947,3.886,3.621,1952,0.03809,324,42.96,0.07943,0.05155
0.1637,0.1637,4.946,3.885,3.62,1952,0.03812,324.2,42.93,0.07939,0.05152
0.1637,0.1637,4.944,3.885,3.62,1952,0.03816,324.5,42.91,0.07935,0.05149
0.1636,0.1636,4.943,3.884,3.619,1952,0.03819,324.7,42.89,0.07931,0.05146
0.05,0.3614,7.505,2,6.01,2138,0.02294,346.1,43.43,0.07927,0.05212
0.1636,0.1636,4.942,3.883,3.618,1952,0.03823,325,42.86,0.07927,0.05144
0.1635,0.1635,4.94,3.882,3.617,1951,0.03826,325.2,42.84,0.07923,0.05141
0.1634,0.1634,4.939,3.881,3.616,1951,0.0383,325.5,42.82,0.07919,0.05138
0.1634,0.1634,4.938,3.88,3.616,1951,0.03833,325.7,42.8,0.07915,0.05136
0.1633,0.1633,4.937,3.879,3.615,1951,0.03837,325.9,42.77,0.07911,0.05133
0.1633,0.1633,4.935,3.878,3.614,1951,0.0384,326.2,42.75,0.07908,0.0513
0.1632,0.1632,4.934,3.877,3.613,1951,0.03844,326.4,42.73,0.07904,0.05127
0.1632,0.1632,4.933,3.876,3.612,1951,0.03847,326.7,42.71,0.079,0.05125
0.1631,0.1631,4.931,3.876,3.612,1951,0.03851,326.9,42.68,0.07896,0.05122
0.163,0.163,4.93,3.875,3.611,1951,0.03854,327.2,42.66,0.07892,0.05119
0.05,0.3586,7.495,2,5.99,2137,0.02304,348.7,43.22,0.07891,0.05187
0.163,0.163,4.929,3.874,3.61,1951,0.03858,327.4,42.64,0.07888,0.05117
0.1629,0.1629,4.927,3.873,3.609,1950,0.03861,327.6,42.62,0.07885,0.05114
0.1629,0.1629,4.926,3.872,3.608,1950,0.03865,327.9,42.6,0.07881,0.05111
0.1628,0.1628,4.925,3.871,3.608,1950,0.03868,328.1,42.57,0.07877,0.05109
0.1627,0.1627,4.924,3.87,3.607,1950,0.03872,328.4,42.55,0.07873,0.05106
0.1627,0.1627,4.922,3.869,3.606,1950,0.03875,328.6,42.53,0.07869,0.05104
0.1626,0.1626,4.921,3.868,3.605,1950,0.03879,328.8,42.51,0.07866,0.05101
0.1626,0.1626,4.92,3.867,3.604,1950,0.03883,329.1,42.49,0.07862,0.05098
0.1625,0.1625,4.918,3.867,3.604,1950,0.03886,329.3,42.46,0.07858,0.05096
0.05,0.3558,7.485,2,5.97,2136,0.02315,351.3,43.02,0.07856,0.05162
0.1625,0.1625,4.917,3.866,3.603,1950,0.0389,329.6,42.44,0.07854,0.05093
0.1624,0.1624,4.916,3.865,3.602,1950,0.03893,329.8,42.42,0.0785,0.0509
0.1623,0.1623,4.914,3.864,3.601,1950,0.03897,330.1,42.4,0.07847,0.05088
0.1623,0.1623,4.913,3.863,3.6,1949,0.03901,330.3,42.38,0.07843,0.05085
0.1622,0.1622,4.912,3.862,3.6,1949,0.03904,330.5,42.35,0.07839,0.05083
0.1622,0.1622,4.911,3.861,3.599,1949,0.03908,330.8,42.33,0.07836,0.0508
0.1621,0.1621,4.909,3.86,3.598,1949,0.03911,331,42.31,0.07832,0.05077
0.162,0.162,4.908,3.859,3.597,1949,0.03915,331.3,42.29,0.07828,0.05075
0.162,0.162,4.907,3.858,3.596,1949,0.03919,331.5,42.27,0.07824,0.05072
0.05,0.3529,7.475,2,5.949,2136,0.02327,353.9,42.82,0.07821,0.05138
0.1619,0.1619,4.905,3.858,3.596,1949,0.03922,331.7,42.25,0.07821,0.0507
0.1619,0.1619,4.904,3.857,3.595,1949,0.03926,332,42.23,0.07817,0.05067
0.1618,0.1618,4.903,3.856,3.594,1949,0.0393,332.2,42.2,0.07813,0.05064
0.1618,0.1618,4.901,3.855,3.593,1949,0.03933,332.5,42.18,0.0781,0.05062
0.1617,0.1617,4.9,3.854,3.592,1948,0.03937,332.7,42.16,0.07806,0.05059
0.1616,0.1616,4.899,3.853,3.592,1948,0.03941,332.9,42.14,0.07802,0.05057
0.1616,0.1616,4.898,3.852,3.591,1948,0.03944,333.2,42.12,0.07799,0.05054
0.1615,0.1615,4.896,3.851,3.59,1948,0.03948,333.4,42.1,0.07795,0.05052
0.1615,0.1615,4.895,3.85,3.589,1948,0.03952,333.7,42.08,0.07791,0.05049
0.05,0.3501,7.465,2,5.929,2135,0.02338,356.5,42.63,0.07788,0.05115
0.1614,0.1614,4.894,3.849,3.588,1948,0.03956,333.9,42.06,0.07788,0.05047
0.1614,0.1614,4.892,3.849,3.588,1948,0.03959,334.2,42.03,0.07784,0.05044
0.1613,0.1613,4.891,3.848,3.587,1948,0.03963,334.4,42.01,0.07781,0.05042
0.1612,0.1612,4.89,3.847,3.586,1948,0.03967,334.6,41.99,0.07777,0.05039
0.1612,0.1612,4.888,3.846,3.585,1948,0.03971,334.9,41.97,0.07773,0.05037
0.1611,0.1611,4.887,3.845,3.584,1948,0.03974,335.1,41.95,0.0777,0.05034
0.1611,0.1611,4.886,3.844,3.584,1947,0.03978,335.4,41.93,0.07766,0.05032
0.161,0.161,4.885,3.843,3.583,1947,0.03982,335.6,41.91,0.07763,0.05029
0.1609,0.1609,4.883,3.842,3.582,1947,0.03986,335.8,41.89,0.07759,0.05027
0.05,0.3473,7.455,2,5.909,2134,0.0235,359,42.43,0.07755,0.05092
0.1609,0.1609,4.882,3.841,3.581,1947,0.0399,336.1,41.87,0.07755,0.05024
0.1608,0.1608,4.881,3.84,3.58,1947,0.03993,336.3,41.85,0.07752,0.05022
0.1608,0.1608,4.879,3.84,3.58,1947,0.03997,336.6,41.83,0.07748,0.05019
0.1607,0.1607,4.878,3.839,3.579,1947,0.04001,336.8,41.81,0.07745,0.05017
0.1607,0.1607,4.877,3.838,3.578,1947,0.04005,337,41.78,0.07741,0.05014
0.1606,0.1606,4.875,3.837,3.577,1947,0.04009,337.3,41.76,0.07738,0.05012
0.1605,0.1605,4.874,3.836,3.576,1947,0.04013,337.5,41.74,0.07734,0.05009
0.1605,0.1605,4.873,3.835,3.576,1946,0.04016,337.7,41.72,0.07731,0.05007
0.1604,0.1604,4.872,3.834,3.575,1946,0.0402,338,41.7,0.07727,0.05004
0.1604,0.1604,4.87,3.833,3.574,1946,0.04024,338.2,41.68,0.07724,0.05002
0.05,0.3444,7.444,2,5.889,2133,0.02362,361.6,42.25,0.07722,0.0507
0.1603,0.1603,4.869,3.832,3.573,1946,0.04028,338.5,41.66,0.0772,0.04999
0.1603,0.1603,4.868,3.831,3.572,1946,0.04032,338.7,41.64,0.07717,0.04997
0.1602,0.1602,4.866,3.831,3.572,1946,0.04036,338.9,41.62,0.07713,0.04995
0.1601,0.1601,4.865,3.83,3.571,1946,0.0404,339.2,41.6,0.0771,0.04992
0.1601,0.1601,4.864,3.829,3.57,1946,0.04044,339.4,41.58,0.07706,0.0499
0.16,0.16,4.862,3.828,3.569,1946,0.04048,339.7,41.56,0.07703,0.04987
0.16,0.16,4.861,3.827,3.568,1946,0.04051,339.9,41.54,0.07699,0.04985
0.1599,0.1599,4.86,3.826,3.568,1946,0.04055,340.1,41.52,0.07696,0.04982
0.1598,0.1598,4.859,3.825,3.567,1945,0.04059,340.4,41.5,0.07693,0.0498
0.05,0.3416,7.434,2,5.869,2133,0.02374,364.2,42.06,0.0769,0.05048
0.1598,0.1598,4.857,3.824,3.566,1945,0.04063,340.6,41.48,0.07689,0.04978
0.1597,0.1597,4.856,3.823,3.565,1945,0.04067,340.9,41.46,0.07686,0.04975
0.1597,0.1597,4.855,3.822,3.564,1945,0.04071,341.1,41.44,0.07682,0.04973
0.1596,0.1596,4.853,3.822,3.564,1945,0.04075,341.3,41.42,0.07679,0.04971
0.1596,0.1596,4.852,3.821,3.563,1945,0.04079,341.6,41.4,0.07676,0.04968
0.1595,0.1595,4.851,3.82,3.562,1945,0.04083,341.8,41.38,0.07672,0.04966
0.1594,0.1594,4.849,3.819,3.561,1945,0.04087,342,41.36,0.07669,0.04963
0.1594,0.1594,4.848,3.818,3.56,1945,0.04091,342.3,41.34,0.07665,0.04961
0.1593,0.1593,4.847,3.817,3.56,1945,0.04095,342.5,41.32,0.07662,0.04959
0.05,0.3388,7.424,2,5.848,2132,0.02387,366.8,41.88,0.07659,0.05026
0.1593,0.1593,4.846,3.816,3.559,1944,0.04099,342.8,41.3,0.07659,0.04956
0.1592,0.1592,4.844,3.815,3.558,1944,0.04103,343,41.28,0.07655,0.04954
0.1591,0.1591,4.843,3.814,3.557,1944,0.04107,343.2,41.26,0.07652,0.04952
0.1591,0.1591,4.842,3.813,3.556,1944,0.04111,343.5,41.24,0.07649,0.04949
0.159,0.159,4.84,3.813,3.556,1944,0.04115,343.7,41.22,0.07645,0.04947
0.159,0.159,4.839,3.812,3.555,1944,0.04119,343.9,41.2,0.07642,0.04945
0.1589,0.1589,4.838,3.811,3.554,1944,0.04123,344.2,41.19,0.07639,0.04942
0.1589,0.1589,4.836,3.81,3.553,1944,0.04128,344.4,41.17,0.07635,0.0494
0.1588,0.1588,4.835,3.809,3.552,1944,0.04132,344.7,41.15,0.07632,0.04938
0.05,0.336,7.414,2,5.828,2131,0.024,369.4,41.71,0.07629,0.05005
0.1587,0.1587,4.834,3.808,3.552,1944,0.04136,344.9,41.13,0.07629,0.04935
0.1587,0.1587,4.833,3.807,3.551,1944,0.0414,345.1,41.11,0.07625,0.04933
0.1586,0.1586,4.831,3.806,3.55,1943,0.04144,345.4,41.09,0.07622,0.04931
0.1586,0.1586,4.83,3.805,3.549,1943,0.04148,345.6,41.07,0.07619,0.04928
0.1585,0.1585,4.829,3.804,3.548,1943,0.04152,345.8,41.05,0.07615,0.04926
0.1585,0.1585,4.827,3.804,3.548,1943,0.04156,346.1,41.03,0.07612,0.04924
0.1584,0.1584,4.826,3.803,3.547,1943,0.0416,346.3,41.01,0.07609,0.04921
0.1583,0.1583,4.825,3.802,3.546,1943,0.04165,346.6,40.99,0.07606,0.04919
0.1583,0.1583,4.823,3.801,3.545,1943,0.04169,346.8,40.97,0.07602,0.04917
0.05,0.3331,7.404,2,5.808,2130,0.02413,371.9,41.53,0.07599,0.04984
0.1582,0.1582,4.822,3.8,3.544,1943,0.04173,347,40.95,0.07599,0.04915
0.1582,0.1582,4.821,3.799,3.544,1943,0.04177,347.3,40.94,0.07596,0.04912
0.1581,0.1581,4.82,3.798,3.543,1943,0.04181,347.5,40.92,0.07593,0.0491
0.158,0.158,4.818,3.797,3.542,1942,0.04186,347.7,40.9,0.07589,0.04908
0.158,0.158,4.817,3.796,3.541,1942,0.0419,348,40.88,0.07586,0.04905
0.1579,0.1579,4.816,3.795,3.54,1942,0.04194,348.2,40.86,0.07583,0.04903
0.1579,0.1579,4.814,3.795,3.54,1942,0.04198,348.4,40.84,0.0758,0.04901
0.1578,0.1578,4.813,3.794,3.539,1942,0.04202,348.7,40.82,0.07577,0.04899
0.1578,0.1578,4.812,3.793,3.538,1942,0.04207,348.9,40.8,0.07573,0.04896
0.05,0.3303,7.394,2,5.788,2130,0.02427,374.5,41.36,0.0757,0.04963
0.1577,0.1577,4.81,3.792,3.537,1942,0.04211,349.2,40.78,0.0757,0.04894
0.1576,0.1576,4.809,3.791,3.536,1942,0.04215,349.4,40.77,0.07567,0.04892
0.1576,0.1576,4.808,3.79,3.536,1942,0.04219,349.6,40.75,0.07564,0.0489
0.1575,0.1575,4.807,3.789,3.535,1942,0.04224,349.9,40.73,0.07561,0.04887
0.1575,0.1575,4.805,3.788,3.534,1942,0.04228,350.1,40.71,0.07557,0.04885
0.1574,0.1574,4.804,3.787,3.533,1941,0.04232,350.3,40.69,0.07554,0.04883
0.1573,0.1573,4.803,3.786,3.532,1941,0.04237,350.6,40.67,0.07551,0.04881
0.1573,0.1573,4.801,3.786,3.532,1941,0.04241,350.8,40.65,0.07548,0.04879
0.1572,0.1572,4.8,3.785,3.531,1941,0.04245,351,40.64,0.07545,0.04876
0.1572,0.1572,4.799,3.784,3.53,1941,0.04249,351.3,40.62,0.07542,0.04874
0.05,0.3275,7.384,2,5.768,2129,0.02441,377.1,41.19,0.07541,0.04943
0.1571,0.1571,4.797,3.783,3.529,1941,0.04254,351.5,40.6,0.07539,0.04872
0.1571,0.1571,4.796,3.782,3.528,1941,0.04258,351.7,40.58,0.07535,0.0487
0.157,0.157,4.795,3.781,3.528,1941,0.04263,352,40.56,0.07532,0.04868
0.1569,0.1569,4.794,3.78,3.527,1941,0.04267,352.2,40.54,0.07529,0.04865
0.1569,0.1569,4.792,3.779,3.526,1941,0.04271,352.5,40.53,0.07526,0.04863
0.1568,0.1568,4.791,3.778,3.525,1940,0.04276,352.7,40.51,0.07523,0.04861
0.1568,0.1568,4.79,3.777,3.524,1940,0.0428,352.9,40.49,0.0752,0.04859
0.1567,0.1567,4.788,3.777,3.524,1940,0.04284,353.2,40.47,0.07517,0.04857
0.1567,0.1567,4.787,3.776,3.523,1940,0.04289,353.4,40.45,0.07514,0.04854
0.05,0.3246,7.374,2,5.747,2128,0.02455,379.6,41.03,0.07513,0.04924
0.1566,0.1566,4.786,3.775,3.522,1940,0.04293,353.6,40.44,0.07511,0.04852
0.1565,0.1565,4.784,3.774,3.521,1940,0.04298,353.9,40.42,0.07508,0.0485
0.1565,0.1565,4.783,3.773,3.52,1940,0.04302,354.1,40.4,0.07504,0.04848
0.1564,0.1564,4.782,3.772,3.52,1940,0.04306,354.3,40.38,0.07501,0.04846
0.1564,0.1564,4.781,3.771,3.519,1940,0.04311,354.6,40.36,0.07498,0.04844
0.1563,0.1563,4.779,3.77,3.518,1940,0.04315,354.8,40.35,0.07495,0.04841
0.1562,0.1562,4.778,3.769,3.517,1940,0.0432,355,40.33,0.07492,0.04839
0.1562,0.1562,4.777,3.768,3.516,1939,0.04324,355.3,40.31,0.07489,0.04837
0.1561,0.1561,4.775,3.768,3.516,1939,0.04329,355.5,40.29,0.07486,0.04835
0.05,0.3218,7.364,2,5.727,2127,0.02469,382.2,40.87,0.07485,0.04904
0.1561,0.1561,4.774,3.767,3.515,1939,0.04333,355.7,40.27,0.07483,0.04833
0.156,0.156,4.773,3.766,3.514,1939,0.04338,356,40.26,0.0748,0.04831
0.156,0.156,4.771,3.765,3.513,1939,0.04342,356.2,40.24,0.07477,0.04829
0.1559,0.1559,4.77,3.764,3.512,1939,0.04347,356.4,40.22,0.07474,0.04827
0.1558,0.1558,4.769,3.763,3.512,1939,0.04351,356.7,40.2,0.07471,0.04824
0.1558,0.1558,4.768,3.762,3.511,1939,0.04356,356.9,40.19,0.07468,0.04822
0.1557,0.1557,4.766,3.761,3.51,1939,0.0436,357.1,40.17,0.07465,0.0482
0.1557,0.1557,4.765,3.76,3.509,1939,0.04365,357.4,40.15,0.07462,0.04818
0.1556,0.1556,4.764,3.759,3.508,1938,0.0437,357.6,40.13,0.07459,0.04816
0.05,0.319,7.354,2,5.707,2127,0.02484,384.8,40.71,0.07458,0.04885
0.1556,0.1556,4.762,3.759,3.508,1938,0.04374,357.8,40.12,0.07456,0.04814
0.1555,0.1555,4.761,3.758,3.507,1938,0.04379,358.1,40.1,0.07453,0.04812
0.1554,0.1554,4.76,3.757,3.506,1938,0.04383,358.3,40.08,0.0745,0.0481
0.1554,0.1554,4.758,3.756,3.505,1938,0.04388,358.6,40.06,0.07447,0.04808
0.1553,0.1553,4.757,3.755,3.504,1938,0.04392,358.8,40.05,0.07444,0.04806
0.1553,0.1553,4.756,3.754,3.504,1938,0.04397,359,40.03,0.07441,0.04803
0.1552,0.1552,4.755,3.753,3.503,1938,0.04402,359.3,40.01,0.07438,0.04801
0.1551,0.1551,4.753,3.752,3.502,1938,0.04406,359.5,39.99,0.07435,0.04799
0.1551,0.1551,4.752,3.751,3.501,1938,0.04411,359.7,39.98,0.07433,0.04797
0.05,0.3162,7.343,2,5.687,2126,0.02499,387.3,40.56,0.07431,0.04867
0.155,0.155,4.751,3.75,3.5,1938,0.04416,360,39.96,0.0743,0.04795
0.155,0.155,4.749,3.75,3.5,1937,0.0442,360.2,39.94,0.07427,0.04793
0.1549,0.1549,4.748,3.749,3.499,1937,0.04425,360.4,39.93,0.07424,0.04791
0.1549,0.1549,4.747,3.748,3.498,1937,0.0443,360.7,39.91,0.07421,0.04789
0.1548,0.1548,4.745,3.747,3.497,1937,0.04434,360.9,39.89,0.07418,0.04787
0.1547,0.1547,4.744,3.746,3.496,1937,0.04439,361.1,39.87,0.07415,0.04785
0.1547,0.1547,4.743,3.745,3.496,1937,0.04444,361.3,39.86,0.07412,0.04783
0.1546,0.1546,4.742,3.744,3.495,1937,0.04448,361.6,39.84,0.07409,0.04781
0.1546,0.1546,4.74,3.743,3.494,1937,0.04453,361.8,39.82,0.07406,0.04779
0.05,0.3133,7.333,2,5.667,2125,0.02514,389.9,40.4,0.07405,0.04848
0.1545,0.1545,4.739,3.742,3.493,1937,0.04458,362,39.81,0.07403,0.04777
0.1544,0.1544,4.738,3.741,3.492,1937,0.04463,362.3,39.79,0.07401,0.04775
0.1544,0.1544,4.736,3.741,3.492,1937,0.04467,362.5,39.77,0.07398,0.04773
0.1543,0.1543,4.735,3.74,3.491,1936,0.04472,362.7,39.76,0.07395,0.04771
0.1543,0.1543,4.734,3.739,3.49,1936,0.04477,363,39.74,0.07392,0.04769
0.1542,0.1542,4.732,3.738,3.489,1936,0.04482,363.2,39.72,0.07389,0.04767
0.1542,0.1542,4.731,3.737,3.488,1936,0.04486,363.4,39.7,0.07386,0.04765
0.1541,0.1541,4.73,3.736,3.488,1936,0.04491,363.7,39.69,0.07383,0.04763
0.154,0.154,4.729,3.735,3.487,1936,0.04496,363.9,39.67,0.07381,0.04761
0.05,0.3105,7.323,2,5.646,2124,0.0253,392.4,40.25,0.07379,0.0483
0.154,0.154,4.727,3.734,3.486,1936,0.04501,364.1,39.65,0.07378,0.04759
0.1539,0.1539,4.726,3.733,3.485,1936,0.04506,364.4,39.64,0.07375,0.04757
0.1539,0.1539,4.725,3.732,3.484,1936,0.04511,364.6,39.62,0.07372,0.04755
0.1538,0.1538,4.723,3.732,3.484,1936,0.04515,364.8,39.6,0.07369,0.04753
0.1538,0.1538,4.722,3.731,3.483,1935,0.0452,365.1,39.59,0.07367,0.04751
0.1537,0.1537,4.721,3.73,3.482,1935,0.04525,365.3,39.57,0.07364,0.04749
0.1536,0.1536,4.719,3.729,3.481,1935,0.0453,365.5,39.56,0.07361,0.04747
0.1536,0.1536,4.718,3.728,3.48,1935,0.04535,365.8,39.54,0.07358,0.04745
0.1535,0.1535,4.717,3.727,3.48,1935,0.0454,366,39.52,0.07355,0.04743
0.05,0.3077,7.313,2,5.626,2123,0.02546,395,40.11,0.07354,0.04813
0.1535,0.1535,4.716,3.726,3.479,1935,0.04545,366.2,39.51,0.07353,0.04741
0.1534,0.1534,4.714,3.725,3.478,1935,0.0455,366.5,39.49,0.0735,0.04739
0.1533,0.1533,4.713,3.724,3.477,1935,0.04554,366.7,39.47,0.07347,0.04737
0.1533,0.1533,4.712,3.723,3.476,1935,0.04559,366.9,39.46,0.07344,0.04735
0.1532,0.1532,4.71,3.723,3.476,1935,0.04564,367.2,39.44,0.07342,0.04733
0.1532,0.1532,4.709,3.722,3.475,1935,0.04569,367.4,39.42,0.07339,0.04731
0.1531,0.1531,4.708,3.721,3.474,1934,0.04574,367.6,39.41,0.07336,0.04729
0.1531,0.1531,4.706,3.72,3.473,1934,0.04579,367.8,39.39,0.07333,0.04727
0.153,0.153,4.705,3.719,3.472,1934,0.04584,368.1,39.38,0.07331,0.04725
0.05,0.3048,7.303,2,5.606,2123,0.02562,397.5,39.96,0.07329,0.04795
0.1529,0.1529,4.704,3.718,3.472,1934,0.04589,368.3,39.36,0.07328,0.04723
0.1529,0.1529,4.703,3.717,3.471,1934,0.04594,368.5,39.34,0.07325,0.04721
0.1528,0.1528,4.701,3.716,3.47,1934,0.04599,368.8,39.33,0.07322,0.04719
0.1528,0.1528,4.7,3.715,3.469,1934,0.04604,369,39.31,0.0732,0.04717
0.1527,0.1527,4.699,3.714,3.468,1934,0.04609,369.2,39.29,0.07317,0.04715
0.1527,0.1527,4.697,3.714,3.468,1934,0.04614,369.5,39.28,0.07314,0.04713
0.1526,0.1526,4.696,3.713,3.467,1934,0.04619,369.7,39.26,0.07311,0.04712
0.1525,0.1525,4.695,3.712,3.466,1933,0.04624,369.9,39.25,0.07309,0.0471
0.1525,0.1525,4.693,3.711,3.465,1933,0.04629,370.2,39.23,0.07306,0.04708
0.05,0.302,7.293,2,5.586,2122,0.02578,400.1,39.82,0.07305,0.04778
0.1524,0.1524,4.692,3.71,3.464,1933,0.04634,370.4,39.22,0.07303,0.04706
0.1524,0.1524,4.691,3.709,3.464,1933,0.0464,370.6,39.2,0.07301,0.04704
0.1523,0.1523,4.69,3.708,3.463,1933,0.04645,370.9,39.18,0.07298,0.04702
0.1522,0.1522,4.688,3.707,3.462,1933,0.0465,371.1,39.17,0.07295,0.047
0.1522,0.1522,4.687,3.706,3.461,1933,0.04655,371.3,39.15,0.07293,0.04698
0.1521,0.1521,4.686,3.705,3.46,1933,0.0466,371.5,39.14,0.0729,0.04696
0.1521,0.1521,4.684,3.705,3.46,1933,0.04665,371.8,39.12,0.07287,0.04694
0.152,0.152,4.683,3.704,3.459,1933,0.0467,372,39.1,0.07285,0.04693
0.152,0.152,4.682,3.703,3.458,1933,0.04675,372.2,39.09,0.07282,0.04691
0.05,0.2992,7.283,2,5.566,2121,0.02595,402.6,39.68,0.07281,0.04762
